"","Estimated antiretroviral therapy coverage among people living with HIV (%)","Reported number of people receiving antiretroviral therapy","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Country"," 2018"," 2018"," 2018"," 2010"," 2005"," 2000"
"Afghanistan","13 [7–20]","920","7200 [4100–11 000]","4200 [2500–6200]","2900 [1700–5000]","1600 [1000–3500]"
"Albania","No data","580","No data","No data","No data","No data"
"Algeria","81 [75–86]","12 800","16 000 [15 000–17 000]","7100 [6600–7600]","3700 [3500–4000]","1900 [1700–2000]"
"Angola","27 [23–31]","88 700","330 000 [290 000–390 000]","220 000 [180 000–250 000]","150 000 [120 000–170 000]","87 000 [72 000–110 000]"
"Argentina","61 [55–67]","85 500","140 000 [130 000–150 000]","110 000 [96 000–120 000]","85 000 [76 000–94 000]","64 000 [55 000–71 000]"
"Armenia","53 [44–65]","1900","3500 [3000–4400]","3300 [2800–4100]","2700 [2000–3500]","950 [580–1600]"
"Australia","83 [70–93]","22 800","28 000 [23 000–31 000]","21 000 [17 000–23 000]","16 000 [14 000–19 000]","13 000 [11 000–15 000]"
"Austria","No data","No data","No data","No data","No data","No data"
"Azerbaijan","No data","4400","No data","No data","No data","No data"
"Bahamas","52 [45–58]","3100","6000 [5300–6700]","5800 [5100–6600]","5100 [4400–6000]","5100 [4400–5900]"
"Bahrain","No data","No data","No data","No data","No data","No data"
"Bangladesh","22 [19–25]","3000","14 000 [12 000–16 000]","7700 [6600–8800]","4000 [3500–4600]","940 [800–1100]"
"Barbados","50 [44–57]","1500","3000 [2700–3400]","2300 [2100–2600]","1700 [1500–1900]","1100 [1000–1300]"
"Belarus","59 [48–75]","15 500","27 000 [22 000–34 000]","12 000 [10 000–15 000]","5400 [4500–6700]","1400 [1100–1900]"
"Belgium","No data","No data","No data","No data","No data","No data"
"Belize","28 [26–31]","1400","4900 [4400–5400]","3700 [3400–4100]","2800 [2600–3100]","1700 [1600–1800]"
"Benin","61 [40–&gt;95]","44 200","73 000 [48 000–120 000]","61 000 [41 000–98 000]","56 000 [37 000–90 000]","47 000 [31 000–75 000]"
"Bhutan","37 [20–78]","480","1300 [700–2700]","1300 [590–2700]","1100 [&lt;500–2000]","530 [&lt;200–970]"
"Bolivia (Plurinational State of)","44 [40–48]","9900","22 000 [20 000–24 000]","23 000 [20 000–25 000]","26 000 [24 000–28 000]","21 000 [20 000–23 000]"
"Bosnia and Herzegovina","67 [57–78]","220","&lt;500 [&lt;500–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]"
"Botswana","83 [75–90]","307 000","370 000 [330 000–400 000]","340 000 [300 000–360 000]","310 000 [280 000–330 000]","280 000 [270 000–300 000]"
"Brazil","66 [51–82]","593 000","900 000 [690 000–1 100 000]","670 000 [520 000–830 000]","550 000 [420 000–680 000]","410 000 [320 000–510 000]"
"Brunei Darussalam","No data","150","No data","No data","No data","No data"
"Bulgaria","41 [35–48]","1500","3500 [3000–4100]","1700 [1600–1900]","980 [910–1100]","&lt;500 [&lt;500–&lt;500]"
"Burkina Faso","62 [50–75]","59 300","96 000 [78 000–120 000]","110 000 [88 000–130 000]","120 000 [95 000–140 000]","140 000 [110 000–170 000]"
"Burundi","80 [69–94]","65 500","82 000 [71 000–97 000]","93 000 [79 000–110 000]","110 000 [88 000–120 000]","130 000 [110 000–150 000]"
"Cabo Verde","89 [75–&gt;95]","2200","2400 [2100–2900]","2100 [1700–2600]","1800 [1400–2700]","1600 [1200–2500]"
"Cambodia","81 [71–93]","59 500","73 000 [64 000–84 000]","79 000 [68 000–93 000]","82 000 [70 000–97 000]","81 000 [73 000–91 000]"
