"","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV","Estimated number of people (all ages) living with HIV"
"Country"," 2018"," 2010"," 2005"," 2000"
"Afghanistan","7200 [4100–11 000]","4200 [2500–6200]","2900 [1700–5000]","1600 [1000–3500]"
"Albania","No data","No data","No data","No data"
"Algeria","16 000 [15 000–17 000]","7100 [6600–7600]","3700 [3500–4000]","1900 [1700–2000]"
"Angola","330 000 [290 000–390 000]","220 000 [180 000–250 000]","150 000 [120 000–170 000]","87 000 [72 000–110 000]"
"Argentina","140 000 [130 000–150 000]","110 000 [96 000–120 000]","85 000 [76 000–94 000]","64 000 [55 000–71 000]"
"Armenia","3500 [3000–4400]","3300 [2800–4100]","2700 [2000–3500]","950 [580–1600]"
"Australia","28 000 [23 000–31 000]","21 000 [17 000–23 000]","16 000 [14 000–19 000]","13 000 [11 000–15 000]"
"Austria","No data","No data","No data","No data"
"Azerbaijan","No data","No data","No data","No data"
"Bahamas","6000 [5300–6700]","5800 [5100–6600]","5100 [4400–6000]","5100 [4400–5900]"
"Bahrain","No data","No data","No data","No data"
"Bangladesh","14 000 [12 000–16 000]","7700 [6600–8800]","4000 [3500–4600]","940 [800–1100]"
"Barbados","3000 [2700–3400]","2300 [2100–2600]","1700 [1500–1900]","1100 [1000–1300]"
"Belarus","27 000 [22 000–34 000]","12 000 [10 000–15 000]","5400 [4500–6700]","1400 [1100–1900]"
"Belgium","No data","No data","No data","No data"
"Belize","4900 [4400–5400]","3700 [3400–4100]","2800 [2600–3100]","1700 [1600–1800]"
"Benin","73 000 [48 000–120 000]","61 000 [41 000–98 000]","56 000 [37 000–90 000]","47 000 [31 000–75 000]"
"Bhutan","1300 [700–2700]","1300 [590–2700]","1100 [&lt;500–2000]","530 [&lt;200–970]"
"Bolivia (Plurinational State of)","22 000 [20 000–24 000]","23 000 [20 000–25 000]","26 000 [24 000–28 000]","21 000 [20 000–23 000]"
"Bosnia and Herzegovina","&lt;500 [&lt;500–&lt;500]","&lt;200 [&lt;200–&lt;200]","&lt;200 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]"
"Botswana","370 000 [330 000–400 000]","340 000 [300 000–360 000]","310 000 [280 000–330 000]","280 000 [270 000–300 000]"
"Brazil","900 000 [690 000–1 100 000]","670 000 [520 000–830 000]","550 000 [420 000–680 000]","410 000 [320 000–510 000]"
"Brunei Darussalam","No data","No data","No data","No data"
"Bulgaria","3500 [3000–4100]","1700 [1600–1900]","980 [910–1100]","&lt;500 [&lt;500–&lt;500]"
"Burkina Faso","96 000 [78 000–120 000]","110 000 [88 000–130 000]","120 000 [95 000–140 000]","140 000 [110 000–170 000]"
"Burundi","82 000 [71 000–97 000]","93 000 [79 000–110 000]","110 000 [88 000–120 000]","130 000 [110 000–150 000]"
"Cabo Verde","2400 [2100–2900]","2100 [1700–2600]","1800 [1400–2700]","1600 [1200–2500]"
"Cambodia","73 000 [64 000–84 000]","79 000 [68 000–93 000]","82 000 [70 000–97 000]","81 000 [73 000–91 000]"
"Cameroon","540 000 [470 000–590 000]","520 000 [460 000–560 000]","470 000 [430 000–500 000]","370 000 [350 000–410 000]"
"Canada","No data","No data","No data","No data"
"Central African Republic","110 000 [90 000–140 000]","140 000 [110 000–160 000]","150 000 [130 000–170 000]","160 000 [130 000–190 000]"
"Chad","120 000 [94 000–150 000]","99 000 [80 000–120 000]","88 000 [69 000–110 000]","80 000 [60 000–100 000]"
"Chile","71 000 [63 000–78 000]","39 000 [34 000–43 000]","25 000 [22 000–27 000]","14 000 [13 000–16 000]"
"China","No data","No data","No data","No data"
"Colombia","160 000 [130 000–180 000]","130 000 [100 000–150 000]","120 000 [98 000–140 000]","110 000 [91 000–130 000]"
"Comoros","&lt;200 [&lt;100–&lt;500]","&lt;200 [&lt;100–&lt;500]","&lt;100 [&lt;100–&lt;200]","&lt;100 [&lt;100–&lt;100]"
"Congo","89 000 [69 000–120 000]","82 000 [69 000–95 000]","77 000 [63 000–90 000]","80 000 [64 000–96 000]"
"Costa Rica","15 000 [13 000–17 000]","9300 [8400–10 000]","6500 [5800–7200]","4300 [3700–4700]"
"Côte d'Ivoire","460 000 [360 000–580 000]","480 000 [380 000–610 000]","510 000 [410 000–650 000]","590 000 [470 000–740 000]"
"Croatia","1600 [1400–1700]","1000 [930–1100]","710 [630–800]","&lt;500 [&lt;500–&lt;500]"
"Cuba","31 000 [24 000–37 000]","17 000 [13 000–21 000]","9000 [6700–11 000]","4100 [2900–5000]"
"Cyprus","No data","No data","No data","No data"
"Czechia","4400 [3700–5000]","1800 [1500–2000]","970 [820–1100]","510 [&lt;500–580]"
"Democratic People's Republic of Korea","No data","No data","No data","No data"
"Democratic Republic of the Congo","450 000 [370 000–530 000]","480 000 [400 000–560 000]","510 000 [430 000–590 000]","540 000 [470 000–610 000]"
"Denmark","6200 [5600–7000]","5500 [5000–6200]","4900 [4500–5500]","4000 [3600–4600]"
"Djibouti","8800 [7100–11 000]","9400 [7700–11 000]","11 000 [9000–13 000]","9400 [7200–12 000]"
"Dominican Republic","70 000 [54 000–92 000]","72 000 [54 000–91 000]","79 000 [61 000–100 000]","85 000 [62 000–120 000]"
"Ecuador","44 000 [29 000–71 000]","34 000 [22 000–57 000]","29 000 [19 000–49 000]","26 000 [15 000–46 000]"
"Egypt","22 000 [20 000–24 000]","6800 [6100–7400]","3200 [2800–3500]","1500 [1400–1600]"
